LOCATION,brand,date,fuel_type,fuel_price,dedup_hash,upd_dt_utc
GEELONG,viva,2019-10-17,PULP95,145,3bc48f62402784bf8e3e226b53d70c9c,1571205617
GEELONG,viva,2019-10-17,PULP98,161.55,61178ce8558e29135a14feac9cac80d1,1571205617
GEELONG,bp,2019-10-16,ULP,134.24,d923c027573d26ab8f8b913b5a138a5c,1571205617
GEELONG,viva,2019-10-17,ULP,134.72,80a3858180c15e18f4346da61a6c5f58,1571205617
GEELONG,bp,2019-10-17,DIESEL,134.62,48fffc083b6bb3b8e956cc6a170b698e,1571292015
GEELONG,viva,2019-10-18,DIESEL,135.31,e1c622bf3da2626e9f1df29491636990,1571292015
GEELONG,bp,2019-10-17,PULP95,142.19,c4f98cfeec2a00b34792bfb0ef5e2cda,1571292015
GEELONG,viva,2019-10-18,PULP95,144.79,238d5e1f1ece69b1baed91003d3b5614,1571292015
GEELONG,viva,2019-10-18,PULP98,161.33,0ed33892a05a22902469d0b4ed5da3a2,1571292015
GEELONG,bp,2019-10-17,ULP,134.18,edd722d95845588bf105ec4af64c5884,1571292015
GEELONG,viva,2019-10-18,ULP,134.62,039730089c1f61de8954ba4d350ae065,1571292015
GEELONG,bp,2019-10-18,DIESEL,135.11,57a5c3505e7d8ed6eaf29460eb69ece4,1571551215
GEELONG,viva,2019-10-19,DIESEL,135.75,d717245daf0ef92095014fea630947f8,1571551215
GEELONG,bp,2019-10-18,PULP95,141.9,f928dfa5cb28c7314b01a67810305165,1571551215
GEELONG,viva,2019-10-19,PULP95,144.11,a1e7b12b3b9bb88a790a75d7b91d1dd9,1571551215
GEELONG,viva,2019-10-19,PULP98,160.64,fb7e0774d4796f7e883c24e43e8b99bf,1571551215
GEELONG,bp,2019-10-18,ULP,133.9,333fd3466b0e8697769f961c5608fbaa,1571551215
GEELONG,viva,2019-10-19,ULP,134.26,a279e620436b76e7be1b2cdb143ef33a,1571551215
GEELONG,viva,2019-10-22,DIESEL,135.97,0403dc4c69af54a1b5f90ca1b682dd0b,1571637616
GEELONG,viva,2019-10-22,PULP95,143.25,10cf389e752529024a9b8abae1e95c0c,1571637616
GEELONG,viva,2019-10-22,PULP98,159.78,43b5b9788111bb275b798f97c8060a6e,1571637616
GEELONG,viva,2019-10-22,ULP,134.02,c5dada7e3cbaa4411f319ee8617fda92,1571637616
GEELONG,bp,2019-10-19,DIESEL,135.32,4c6e048e476b4003cee3a9db8697b6b6,1571706014
GEELONG,bp,2019-10-19,PULP95,141.69,8e019f0012404f313d2d5d535c701df1,1571706014
GEELONG,bp,2019-10-19,ULP,133.69,bee9ff73c5a547ed08ef7d5b8f3ebb70,1571706014
GEELONG,bp,2019-10-22,DIESEL,135.02,bcd69f8bed3e3d7f0867e99b5a0704a8,1571724016
GEELONG,viva,2019-10-23,DIESEL,135.65,ff797fc39e103f241d3f15573bc9a325,1571724016
GEELONG,bp,2019-10-22,PULP95,141.01,5952a14e3bc7c9c5cfb07ff1e1329a7f,1571724016
GEELONG,viva,2019-10-23,PULP95,142.1,7a8167275d5b0d5376ab1f5fedc472dd,1571724016
GEELONG,viva,2019-10-23,PULP98,158.61,671f4969fda5255525040022e03dba09,1571724016
GEELONG,bp,2019-10-22,ULP,133.01,db118514ca4935999591cf1feabaeb74,1571724016
GEELONG,viva,2019-10-23,ULP,133.32,348a78b37556e33993e53fbe3215c449,1571724016
GEELONG,bp,2019-10-23,DIESEL,134.86,2629ac5554d1f0d944042921021cf62d,1571810414
GEELONG,viva,2019-10-24,DIESEL,135.55,fdb382fde0b25f9dab3194c470a30494,1571810414
GEELONG,bp,2019-10-23,PULP95,140.46,67c0daa9f48be877e488f406b7c818f4,1571810414
GEELONG,viva,2019-10-24,PULP95,141.35,cb9ab6808650b2f4b8a6dc564e2840f0,1571810414
GEELONG,viva,2019-10-24,PULP98,157.85,c3bc1f9f70467a22ce347c12647e9588,1571810414
GEELONG,bp,2019-10-23,ULP,132.46,04d27b4e8aa4b2076643510da80195e6,1571810414
GEELONG,viva,2019-10-24,ULP,132.84,737495d3a082e07e578941a28c7fdc45,1571810414
GEELONG,bp,2019-10-24,DIESEL,134.46,2606568da605b42162c186080722a6eb,1571896815
GEELONG,viva,2019-10-25,DIESEL,135.19,5e2cb5b0072e01573abee5b2aa1ac991,1571896815
GEELONG,bp,2019-10-24,PULP95,139.33,de6c7d9213174ccce81c8cb4d32f578e,1571896815
GEELONG,viva,2019-10-25,PULP95,140.02,802ef4f60837757e7a2f45061607478b,1571896815
GEELONG,viva,2019-10-25,PULP98,156.51,248770916ff1588e0e452929201a4748,1571896815
GEELONG,bp,2019-10-24,ULP,131.33,b8681bfbe83510e3cfb6b7b37dd27092,1571896815
GEELONG,viva,2019-10-25,ULP,131.71,a955296273c2830e4735f75b3108aafd,1571896815
GEELONG,bp,2019-10-25,DIESEL,133.93,7b1a97a080171a0d4134da4b95a7d3c1,1572156016
GEELONG,viva,2019-10-26,DIESEL,134.65,bef9b71694fab34a7b73d88b1f27a283,1572156016
GEELONG,bp,2019-10-25,PULP95,138.16,52ecfc6311e97e6ed58bf254e3cdf1f3,1572156016
GEELONG,viva,2019-10-26,PULP95,138.73,9cb034e2be86ab4e6c560069abd6ff0f,1572156016
GEELONG,viva,2019-10-26,PULP98,155.2,a25a17ee4b9f2f356558458150bfaa6a,1572156016
GEELONG,bp,2019-10-25,ULP,130.15,908146cbd8bc1d99106710e797248cb1,1572156016
GEELONG,viva,2019-10-26,ULP,130.55,3f414977818036e7de9799ed98e49b5c,1572156016
GEELONG,bp,2019-10-26,DIESEL,133.74,c844ed43278808e5d7fee5327c10179c,1572242563
GEELONG,viva,2019-10-29,DIESEL,134.35,7e75692e8548b93c1bb1b24dab4ab5a0,1572242563
GEELONG,bp,2019-10-26,PULP95,137.54,d0bd83df3b1099b43040dfa40c812558,1572242563
GEELONG,viva,2019-10-29,PULP95,137.92,583b047e8ae98bf822d76620c6c1ccb9,1572242563
GEELONG,viva,2019-10-29,PULP98,154.36,8c58d973f3dc7149aeb11efd61297715,1572242563
GEELONG,bp,2019-10-26,ULP,129.54,c17a9f05235bf2f6608ef23b06b96872,1572242563
GEELONG,viva,2019-10-29,ULP,129.82,99430b10a696e18ecd099de43ebb2115,1572242563
GEELONG,bp,2019-10-29,DIESEL,133.96,54ddc66c84d9a60424ae05fd8c548e06,1572328815
GEELONG,viva,2019-10-30,DIESEL,134.56,a4b972190c862590664204f8247f03e4,1572328815
GEELONG,bp,2019-10-29,PULP95,137.28,bd9078c33f0de4ee3e211554655435b1,1572328815
GEELONG,viva,2019-10-30,PULP95,137.61,60d70ee83797d59fa3bec48a610f06b2,1572328815
GEELONG,viva,2019-10-30,PULP98,154.06,c0d8936139e491ee4ba6cc12bd859b0f,1572328815
GEELONG,bp,2019-10-29,ULP,129.28,0e47f599a042a2f310580eac100ebeda,1572328815
GEELONG,viva,2019-10-30,ULP,129.57,5d579c1963f00afd27839fdcfa39a28d,1572328815
GEELONG,bp,2019-10-30,DIESEL,134.05,f92a20dbbd1839448fb8bc1a6d63f79e,1572415215
GEELONG,viva,2019-10-31,DIESEL,134.88,5d322a85fedc7933eeace0bae4c55f6b,1572415215
GEELONG,bp,2019-10-30,PULP95,137.05,172703384ddce53649926d2ce9489c35,1572415215
GEELONG,viva,2019-10-31,PULP95,137.34,28ef0df337ee42e0001b5aa13bff1c04,1572415215
GEELONG,viva,2019-10-31,PULP98,153.8,78fa507bc96b4e77cad191e7a7f7f3d1,1572415215
GEELONG,bp,2019-10-30,ULP,129.05,3e05923329e304278abecf8107df2694,1572415215
GEELONG,viva,2019-10-31,ULP,129.36,bde867d3c72e74ec53b4c1851d3d3f7f,1572415215
GEELONG,bp,2019-10-31,DIESEL,134.29,1986baf055ce174e0fe39b496291ca1b,1572501614
GEELONG,viva,2019-11-01,DIESEL,135.03,d7e2d509da1266255c5d5645c300c51b,1572501614
GEELONG,bp,2019-10-31,PULP95,136.73,3c7c10f6dc24ed50b795bb380d6e839e,1572501614
GEELONG,viva,2019-11-01,PULP95,137.18,737d46379b6df5b574999f848c87eb35,1572501614
GEELONG,viva,2019-11-01,PULP98,153.64,4d61e598df87624c511c2b535731f793,1572501614
GEELONG,bp,2019-10-31,ULP,128.72,f982482f624545a7b230c314c5b3783a,1572501614
GEELONG,viva,2019-11-01,ULP,129.28,9fc8c2e6bee73e779ab650b140b81242,1572501614
GEELONG,bp,2019-11-01,DIESEL,134.28,c309d801af8838c9f21beaba24d54c50,1572760814
GEELONG,viva,2019-11-02,DIESEL,135.05,c2dbac5fb7ae0ac85d8a8140d2aa98e6,1572760814
GEELONG,bp,2019-11-01,PULP95,136.5,089ce07e9e74cdd304eb7196ae440982,1572760814
GEELONG,viva,2019-11-02,PULP95,136.96,47cafe7d6399fab17e14a0b2613c3d73,1572760814
GEELONG,viva,2019-11-02,PULP98,153.42,582229787a0adc03ef52299396178f09,1572760814
GEELONG,bp,2019-11-01,ULP,128.5,68fab49c2ca6dd541a593187f92b2c7f,1572760814
GEELONG,viva,2019-11-02,ULP,129.14,410e0d3d5e4d8c7a9cbef15d1a128a44,1572760814
GEELONG,bp,2019-11-02,DIESEL,133.71,1c41df6b9989b073adb90216b3c6825b,1572847215
GEELONG,viva,2019-11-05,DIESEL,134.63,e9b67695ed9a6dad0d4fd146eb63ef49,1572847215
GEELONG,bp,2019-11-02,PULP95,135.51,506469a1543aafbbf3b46e3aa2d17b94,1572847215
GEELONG,viva,2019-11-05,PULP95,136.1,2566481e83f9bb5e297a5eddccd5f352,1572847215
GEELONG,viva,2019-11-05,PULP98,152.55,856b10a69955bcf21d3d581b566e7aa6,1572847215
GEELONG,bp,2019-11-02,ULP,127.51,9f3f98d927af915976b478c6b7768901,1572847215
GEELONG,viva,2019-11-05,ULP,128.39,700db69ba0fd80b540b0f3bfa5bedcdc,1572847215
GEELONG,bp,2019-11-05,DIESEL,132.52,06901debe943feaa0c1405ae567ff062,1572933614
GEELONG,viva,2019-11-06,DIESEL,133.67,53db61933c39aeea69f39ef58d354bf3,1572933614
GEELONG,bp,2019-11-05,PULP95,134.76,eaea263b5df1291581317a5ee9819381,1572933614
GEELONG,viva,2019-11-06,PULP95,135.5,3f29164217944155c58ffbec08ea7f1b,1572933614
GEELONG,viva,2019-11-06,PULP98,151.93,e1ee37142717d85314a85d0c3bd8a9c2,1572933614
GEELONG,bp,2019-11-05,ULP,126.76,e117214ddc41a1c36aa3684205a66b2c,1572933614
GEELONG,viva,2019-11-06,ULP,127.78,b7f8387c1f9fecb30c2622f35e40e9bb,1572933614
GEELONG,bp,2019-11-06,DIESEL,132.42,71902896d2f7e47c564f68abb848e1b7,1573020015
GEELONG,viva,2019-11-07,DIESEL,133.1,5522d18672515ddfae82ce1303532b8a,1573020015
GEELONG,bp,2019-11-06,PULP95,135.21,a82485d0b684199662ade4537d267655,1573020015
GEELONG,viva,2019-11-07,PULP95,135.59,302d28f3995967c5db04a68a2057c6a0,1573020015
GEELONG,viva,2019-11-07,PULP98,152,d14de0f556c2bea82f61fd2f80af1111,1573020015
GEELONG,bp,2019-11-06,ULP,127.21,e62c801a3a52bf6fc6dea88c604ccc37,1573020015
GEELONG,viva,2019-11-07,ULP,127.8,d9ecff0236a8c5e94089c854b13e2916,1573020015
GEELONG,bp,2019-11-07,DIESEL,132.29,b120ba953bad5c887a15d355ee03c8d1,1573106415
GEELONG,viva,2019-11-08,DIESEL,132.99,eb3f0b494a104943020aa5650b764c7c,1573106415
GEELONG,bp,2019-11-07,PULP95,136.03,dd1660bcf01e0b725a25bf54dde226cc,1573106415
GEELONG,viva,2019-11-08,PULP95,136.5,e64fc5cd72fc29fa5ac5a05985c10a63,1573106415
GEELONG,viva,2019-11-08,PULP98,152.9,ad94feb71adfadcd2bda89e937c7d074,1573106415
GEELONG,bp,2019-11-07,ULP,128.03,2bd1fb4289971d0597f45b9bac311bc5,1573106415
GEELONG,viva,2019-11-08,ULP,128.65,6c9d0cf54cb79d24a3bdf5c56deb5722,1573106415
GEELONG,bp,2019-11-08,DIESEL,132.2,dc4cdbd3a8b80c1c9a169bdde981a030,1573365616
GEELONG,viva,2019-11-09,DIESEL,133.22,03599e14196861130f04b83049e5a941,1573365616
GEELONG,bp,2019-11-08,PULP95,136.89,21d8fba5d2af3aab3a69520c00074e37,1573365616
GEELONG,viva,2019-11-09,PULP95,137.76,1283cb20afb71fb963e8207f3f2b765b,1573365616
